Item ID,Image(s),Category,Observation Type,Detail,Action Needed
TOP-01,Img 1,T-Shirt,Brand identification,Faint chest text visible on the white tee - possible Calvin Klein logo but photo resolution insufficient to confirm. Brand currently logged as 'Possibly Calvin Klein'.,Confirm brand by checking the physical garment (inner neck tag or chest embroidery)
TOP-01,Img 1,T-Shirt,Condition,"A small mid-chest mark is visible - could be a stain, a shadow from creasing, or print fading. Cannot distinguish from photo.","Inspect physically - if a stain, may need cleaning before next wear"
TOP-01,Img 1,T-Shirt,Fit verification,No worn photo available. Flat lay reads boxy/relaxed but on an athletic 6'0 frame this could fall as a clean regular fit.,Worn photo would resolve fit ambiguity
TOP-02,Img 2,Shirt,Item identification,"Garment is folded/bunched in the only available photo. Cannot determine: garment type (camp collar shirt vs short-sleeve printed shirt vs tee), fit, length, silhouette, neckline, sleeve construction, condition.",Re-photograph this item laid flat AND with a worn shot - currently the lowest-fidelity entry in the catalog
TOP-02,Img 2,Shirt,Color/print accuracy,Print includes what appear to be tigers + foliage + small floral elements - but folded state may be obscuring the full motif.,Flat-lay re-photo will confirm full pattern
TOP-03,Img 3 and Img 4,Sweater,Possible duplicate,Img 3 and Img 4 appear to show the SAME open-knit grey mock-neck sweater at slightly different orientations. Merged into TOP-03. Confirm this is correct - not two near-identical sweaters.,"Visually verify only one such sweater exists, or split into TOP-03a / TOP-03b if there are two"
TOP-03,Img 3 and Img 4,Sweater,Fit verification,No worn photo. Open-knit drop-shoulder sweaters often look very boxy flat but sit relaxed on an athletic frame. Cannot confirm whether 'relaxed' here means 'oversized' or 'tailored relaxed'.,Worn photo required to lock in fit/silhouette
TOP-04,Img 5,T-Shirt,Brand identification,Chest graphic style suggests a festival/eco/nature brand (possible 'Wild Earth' text visible) but the print is small and partially faded by acid wash. Logged as Unidentified.,Confirm brand from neck tag
TOP-04,Img 5,T-Shirt,Condition,"The garment shows fading/mottling consistent with intentional acid-wash treatment, but it's hard to distinguish design wash from genuine wear in this photo. May or may not be a heavily-worn item.",Physical inspection to differentiate design vs genuine wear
TOP-05,Img 6,T-Shirt,Brand identification,Neck label typography resembles H&M but is not fully legible. Logged as 'Possibly H&M'.,Confirm from physical neck tag
TOP-05,Img 6,T-Shirt,Skin tone caution,Warm sand/beige sits very close to a light brown complexion. This piece carries a real risk of disappearing into the skin tone in photos and in low light - flagged in the catalog. Recommend pairing logic later should account for high-contrast bottoms and accessories.,No action - flag is for downstream pairing decisions
BOT-01,Img 8,Trousers,Skin tone caution,"Warm khaki/tan trousers sit close to a light brown skin tone. Less risky than a beige top (the legs are usually further from the face), but still flagged - certain shoe/top pairings could create a single warm-neutral block that visually mutes the outfit.",No action - flag is for downstream pairing decisions
BOT-01,Img 8,Trousers,Fit verification,No worn photo. Wide-leg pleated trousers can read as deliberately oversized-cool OR as ill-fitting-frumpy depending on rise sit and where the leg breaks on the shoe. Cannot tell from flat lay.,Worn photo needed - especially showing the hem break
BOT-02,Img 9,Trousers,Brand identification,Hangtag visible at waistband but text not legible in photo. New with tags.,"Read the hangtag - the brand is right there, just unreadable in the photo"
BOT-02,Img 9,Trousers,Fit verification,No worn photo. Same uncertainty as BOT-01 regarding hem break and rise sit.,Try on and capture a worn photo before logging fit confidence
GENERAL,Batch 1 (Img 1-10),—,Photography pattern,Every item in this batch is a flat lay. No worn photos exist for any of the 9 unique items. All fit/silhouette/drape data is provisional and must be confirmed with worn photos before pairing logic is built in Pass 2.,Recommend a separate worn-photo shoot for items that survive triage
TOP-07,Img 11,Shirt,Brand identification,Small inner-collar label is visible but text resolution is insufficient to identify the brand. Logged as 'Unidentified'.,Read the inner neck tag physically to confirm brand
TOP-07,Img 11,Shirt,Fabric ambiguity,Lightweight white fabric with visible texture - could be cotton poplin OR a cotton-linen blend. Cannot distinguish from photo alone.,Care label inspection would resolve fabric exactly
TOP-08,Img 12,Shirt,Fit verification,No worn photo available. American Eagle linen shirts often run boxy in flat lay but sit relaxed-regular on athletic frames.,Worn photo recommended to lock in fit confidence
BOT-04,"Img 19, Img 20",Trousers,Worn-photo data quality,"BOT-04 is the FIRST item in the catalog with worn-photo ground truth. Fit, silhouette, and drape fields are now high-confidence rather than provisional flat-lay reads. All earlier entries (TOP-01 through BOT-03 + TOP-07, TOP-08) still need worn photos.",Prioritize capturing worn photos for the remaining items as you go
BOT-05,Img 14,Shorts,Condition - design vs wear,"Distressing at thighs is clearly intentional (clean rip placement, symmetrical-ish). However additional ambient wear/fading is possible on top of the design distressing - cannot fully separate the two from photo.",Physical inspection - mainly cosmetic question
