Item ID,Item Image Name,Image References,Category,Sub-Category,Brand,Color (Primary),Color (Secondary),Pattern,Fit,Rise,Length,Silhouette,Neckline,Drape Notes,Fit Source,Fabric,Weight,Stretch,Breathability,Surface Texture,Formality (1-5),Vibe Tags,Occasion Tags,Layering Position,Season,Max Comfortable Temp (C),Condition,Wear Frequency Estimate,Color Temperature,Skin Tone Interaction,Skin Tone Caution Flag,Contrast Level,Versatility Score (1-5),Role in Outfit,Volume/Visual Weight,Shoe Type,Sole Profile,Aesthetic Range,Top Compatibility Note
TOP-01,WhatsApp Image 2026-05-17 at 8.44.43 PM.jpeg | WhatsApp Image 2026-05-18 at 12.16.32 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.33 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.33 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.16.34 AM (1).jpeg,"Img 1 (flat) | Img 105 (flat lay — back/neck label view) | Img 106 (worn full-length) | Img 107 (worn upper-body) | Img 109 (worn full-length, further angle)",T-Shirt,Crew neck T-shirt,Possibly Calvin Klein (faint chest text - not fully legible),Bright white,—,Solid,Relaxed (worn photos confirm — sits slightly loose on athletic frame without billowing),,Short-sleeve,Relaxed,Crew,"Worn photos show relaxed drape; hem sits at hip level; comfortable fit for an athletic 6'0"" frame in size XL","Worn photo (Img 106-107, 109) - ground truth",Cotton jersey,Mid,Slight,High,"Smooth, soft-washed",2,"clean, minimal, street, cosmopolitan, designer-dev","casual hangout, boys night, brunch, travel day, date night (casual)",Base,All-season,35,Good (slight creasing; faint mid-chest mark visible - possible stain or shadow),Regular,Cool/neutral,Bright white pops well against light brown skin - strong contrast,No,High,5,Supporting,Low,,,,
TOP-02,WhatsApp Image 2026-05-17 at 8.44.49 PM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.27 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.28 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.28 AM.jpeg,Img 2 (flat - folded/crumpled) | Img 95 (worn close-up) | Img 96 (worn full-length) | Img 98 (worn 3/4 body),Shirt,Printed mandarin-collar shirt (camp collar variant with mandarin neckline confirmed from worn photos),Unidentified,Deep indigo / navy,"Cream/ivory, red-pink, olive green",Tropical/animal print (tigers + foliage + floral motifs),Relaxed (confirmed from worn photos - sits comfortably on athletic frame with sleeves rolled to 3/4),,Regular (hem sits at hip),"Relaxed, slightly boxy",Mandarin / band collar,Worn photos confirm relaxed drape through torso; mandarin/band collar sits naturally. Bold print reads as statement piece.,"Worn photo (Img 95-96, 98) - ground truth",Likely viscose or cotton-rayon blend (drape and print clarity),Light-mid,No,Medium-high,Smooth,2,"Goa/hippie, coastal, maximalist, bold, surf","beach/Goa, casual hangout, party, boys night, brunch, restaurant (casual)",Base / open as outer (typical of printed shirts),"Summer, all-season for warm-climate travel",38,Cannot determine from photo (folded),Occasional,"Mixed (cool navy base, warm accents) - reads warm-leaning overall",Warm accents harmonize with warm Indian skin; navy provides contrast,No,High (bold pattern),2,Star,High,,,,
TOP-03,WhatsApp Image 2026-05-17 at 8.44.49 PM (2).jpeg | WhatsApp Image 2026-05-17 at 8.44.49 PM (3).jpeg,"Img 3 (flat), Img 4 (flat - different angle/orientation, same item)",Sweater,Open-knit mock-neck sweater,Unidentified,Heather grey,—,Knit texture (loose open weave),Relaxed (flat-lay reading),,Long-sleeve,"Slightly boxy on flat, drop-shoulder suspected (no worn photo)",Mock neck / high crew,No worn photo available,Flat lay only,Open-knit cotton or cotton-acrylic blend,Mid,Slight (knit construction),High (open weave),"Ribbed, open-weave, textured",2-3,"earthy, artisan, Goa/hippie, coastal, designer-dev, Scandi","casual hangout, date night (casual), brunch, travel day, beach/Goa (evening)",Mid or base (can layer over a tee),"Monsoon, winter (Bangalore-calibrated); all-season for travel to cooler climates",25,Good,Regular (cool weather),Neutral (heather grey reads slightly cool),Versatile neutral - does not disappear into warm skin,No,Medium,4,Both (star when worn solo; supporting with bold bottoms),Medium-high (open-weave is visually heavy),,,,
TOP-04,WhatsApp Image 2026-05-17 at 8.44.49 PM (4).jpeg | WhatsApp Image 2026-05-18 at 12.16.19 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.20 AM (1).jpeg,Img 5 (flat) | Img 87 (worn full-length) — FIRST worn photo for TOP-04 | Img 88 (worn waist-up close-up),T-Shirt,Graphic acid-wash T-shirt,Unidentified (chest graphic appears nature/festival themed - 'Wild Earth' or similar),Faded navy / indigo (acid-wash),"Green, yellow (chest graphic)",Acid-wash with chest graphic,Relaxed (flat-lay reading),,Short-sleeve,"Relaxed, slightly boxy",Crew,No worn photo available,Flat lay only,Cotton jersey,Mid,Slight,High,"Soft-washed, slightly weathered",2,"grunge, metalhead, street, rugged, Goa/hippie, surf","concert, casual hangout, boys night, beach/Goa, travel day",Base,All-season (warm climates),35,Worn appearance (intentional acid-wash; possible additional genuine wear - hard to distinguish),Occasional,Cool,Deep blue contrasts nicely with warm skin,No,Medium-high,3,Star (graphic + wash carry personality),Medium,,,,
TOP-05,WhatsApp Image 2026-05-17 at 8.44.49 PM.jpeg,Img 6 (flat),T-Shirt,Crew neck T-shirt,Possibly H&M (neck label typography resembles H&M - not fully legible),Warm sand / light beige,—,Solid,Relaxed (flat-lay reading),,Short-sleeve,"Relaxed, slightly boxy",Crew,No worn photo available,Flat lay only,Heavyweight cotton jersey (visible structure suggests heavier weight),Mid-heavy,Slight,High,Smooth,2,"earthy, minimal, clean, coastal, designer-dev, Scandi","casual hangout, brunch, travel day, beach/Goa, date night (casual)",Base,All-season,35,Good,Regular,Warm,CAUTION - beige/sand sits close to light brown skin tone; risks washing out / blending,YES,Low,3,Supporting,Low,,,,
TOP-06,WhatsApp Image 2026-05-17 at 8.44.50 PM (1).jpeg,Img 7 (flat),Shirt,Short-sleeve button-up shirt with chest pocket,Unidentified,Olive green / army green,Brown (buttons),Solid,Relaxed (flat-lay reading),,Short-sleeve,"Relaxed, slightly boxy cut",Camp/spread collar (button-up),No worn photo available,Flat lay only,Linen or linen-cotton blend (visible weave texture),Light-mid,No,High (linen),"Slubby, textured (linen weave)",3,"earthy, safari, coastal, artisan, rugged, designer-dev, minimal","office, date night (casual), restaurant, travel day, beach/Goa, brunch",Base / open as outer,"Summer, monsoon; all-season for warm climates",36,Good (some natural linen wrinkling),Regular,Warm,Excellent - olive harmonizes beautifully with warm Indian skin tone,No,Medium,4,Both (star buttoned; supporting open over a tee),Medium,,,,
BOT-01,WhatsApp Image 2026-05-17 at 8.44.50 PM (2).jpeg,Img 8 (flat),Trousers,Wide-leg pleated trousers,Unidentified,Warm khaki / sand / light tan,—,Solid,Wide / relaxed,Mid-high (pleated waist visible),Full length,"Wide-leg, drapes loose through leg",,No worn photo available,Flat lay only,"Likely polyester-viscose blend or tencel (smooth, drapes)",Mid,Slight,Medium,"Smooth, slight sheen",3-4,"cosmopolitan, designer-dev, editorial, Scandi, minimal, clean","office, date night (upscale), restaurant, brunch, party",,All-season,32,Good,Regular,Warm,CAUTION - light khaki/tan sits close to skin tone; risks blending below the waist,YES,Low,3,Supporting,Medium (wide silhouette adds visual weight),,,,
BOT-02,WhatsApp Image 2026-05-17 at 8.44.50 PM (3).jpeg,Img 9 (flat - tags on),Trousers,Wide-leg pleated trousers,Unidentified (visible hangtag - text not legible in photo),Light grey / silver-grey,—,Solid (subtle woven texture),Wide / relaxed,Mid-high,Full length,Wide-leg,,No worn photo available,Flat lay only,Likely wool-poly suiting blend or technical poly,Mid,Slight,Medium,"Smooth woven, slight texture",3-4,"cosmopolitan, designer-dev, editorial, minimal, clean","office, date night (upscale), restaurant, brunch",,All-season,30,New (tags on),New - pending first wear,Neutral / cool-leaning,Excellent - cool grey contrasts well with warm skin,No,Medium,4,Supporting,Medium,,,,
BOT-03,WhatsApp Image 2026-05-17 at 8.44.50 PM (4).jpeg,Img 10 (flat),Jeans,"Faded black denim, regular/straight fit",Possibly Wrangler Authentics (waistband text reads 'authentic' - matches Wrangler Authentics line),Faded black / charcoal black,—,Solid (with faded/worn texture across legs),Regular (flat-lay reading - appears straight cut),Mid,Full length,Straight,,No worn photo available,Flat lay only,"Cotton denim, heavyweight",Heavy,No (or slight if elastane present - cannot confirm),Low,Faded/worn denim surface,2,"street, rugged, grunge, metalhead, casual, designer-dev","casual hangout, boys night, concert, party, travel day",,"Winter, monsoon; all-season for cool weather",28,Worn (significant fading - could be intentional wash or genuine wear),Regular,Neutral (faded black reads neutral),"Good - neutral, does not compete with skin",No,Medium-high,4,Supporting,Medium (faded texture adds slight visual interest),,,,
TOP-07,WhatsApp Image 2026-05-17 at 8.44.50 PM (5).jpeg | WhatsApp Image 2026-05-18 at 12.13.19 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.19 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.20 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.20 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.21 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.21 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.21 AM.jpeg,Img 11 (flat) | Img 56 (worn front) | Img 57 (worn full-length) | Img 58 (worn) | Img 59 (worn) | Img 60 (worn waist-up) | Img 61 (worn back) | Img 62 (worn angle),Shirt,Mandarin collar long-sleeve shirt,Unidentified (small inner-collar label not legible),Bright white / off-white,Indigo blue (print),Abstract dot/circle pattern arranged in diamond/geometric clusters,Relaxed (worn reading confirms flat-lay read),,Long-sleeve,Relaxed,Mandarin / band collar,Multiple worn photos show relaxed fit with clean drape; sits well on athletic frame without excessive looseness. Mandarin collar sits naturally.,Worn photo (Img 56-62) - ground truth,Lightweight cotton (poplin or cotton-linen blend),Light,No,High,Smooth,3,"artisan, designer-dev, cosmopolitan, editorial, Goa/hippie","office (creative/casual), date night (casual), restaurant, brunch, beach/Goa, party",Base / open as outer,"Summer, monsoon, all-season warm",36,Good (some natural creasing),Regular,Cool (white base + indigo print),Excellent - bright white pops against warm Indian skin,No,High,4,Star (the print carries visual interest),Medium (small-scale print keeps visual weight controlled),,,,
