Image Number,Image Filename,Description,Image Type,Mapped Item ID(s),Notes
Img 1,WhatsApp Image 2026-05-17 at 8.44.43 PM.jpeg,"Bright white crew-neck tee, flat lay on floral bedsheet",Flat lay,TOP-01,"Faint mid-chest text/logo visible - possibly Calvin Klein, not fully legible"
Img 2,WhatsApp Image 2026-05-17 at 8.44.49 PM (1).jpeg,Folded/crumpled tropical-print shirt - navy with tigers/foliage/florals,Flat lay,TOP-02,"Garment is bunched/folded - garment type, fit, neckline, and length cannot be determined from this single photo"
Img 3,WhatsApp Image 2026-05-17 at 8.44.49 PM (2).jpeg,"Heather grey open-knit mock-neck sweater, flat lay (sleeves tucked under)",Flat lay,TOP-03,First angle of the open-knit sweater
Img 4,WhatsApp Image 2026-05-17 at 8.44.49 PM (3).jpeg,"Heather grey open-knit mock-neck sweater, flat lay (different orientation)",Duplicate angle,TOP-03,Same item as Img 3 - merged into single catalog entry
Img 5,WhatsApp Image 2026-05-17 at 8.44.49 PM (4).jpeg,"Acid-wash navy/indigo graphic tee with chest print, flat lay",Flat lay,TOP-04,Chest graphic appears to be a nature/festival design (sun + foliage + 'Wild Earth' style text)
Img 6,WhatsApp Image 2026-05-17 at 8.44.49 PM.jpeg,"Warm sand/beige crew-neck tee, flat lay",Flat lay,TOP-05,Neck label visible - typography resembles H&M but cannot confirm
Img 7,WhatsApp Image 2026-05-17 at 8.44.50 PM (1).jpeg,"Olive-green short-sleeve button-up shirt with chest pocket, flat lay on floral bedsheet",Flat lay,TOP-20,Visible linen-like weave; brown buttons; chest pocket on left | Manual review cleanup 2026-05-19 00:45:10: removed invalid item mapping(s) TOP-06 | Batch 08 reassignment 2026-05-20: re-mapped to TOP-20 (olive-green short-sleeve mandarin-collar shirt) based on visual match with worn photos Imgs 68-73
Img 8,WhatsApp Image 2026-05-17 at 8.44.50 PM (2).jpeg,"Warm khaki/tan wide-leg pleated trousers, flat lay",Flat lay,BOT-01,Pleated front; full length; smooth fabric with slight sheen
Img 9,WhatsApp Image 2026-05-17 at 8.44.50 PM (3).jpeg,"Light grey wide-leg pleated trousers, flat lay (tags still attached)",Flat lay,BOT-02,New with tags - hangtag visible at waistband but text not legible in photo
Img 10,WhatsApp Image 2026-05-17 at 8.44.50 PM (4).jpeg,"Faded black/charcoal heavyweight denim bootcut jeans, flat lay; visible waistband text reads as 'Authentics' (likely Wrangler)",Flat lay,BOT-14,Waistband text reads 'authentic' - suggests Wrangler Authentics line | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) BOT-03 | Batch 08 2026-05-20: kept unmapped. User invalidated BOT-03. Image shows faded black 'authentic' jeans flat lay. Could be same as BOT-08 (worn) or a disposed pair. Logged as observation pending user confirmation. | Batch 12 (2026-05-21): mapped to new BOT-14
Img 11,WhatsApp Image 2026-05-17 at 8.44.50 PM (5).jpeg,"White long-sleeve mandarin collar shirt with abstract blue dot pattern, flat lay",Flat lay,TOP-07,Small neck label visible but not legible in photo
Img 12,WhatsApp Image 2026-05-17 at 8.44.50 PM (6).jpeg,"Light sky blue pinstripe linen button-up shirt with chest pocket, flat lay",Flat lay,TOP-08,American Eagle neck label clearly visible
Img 13,WhatsApp Image 2026-05-17 at 8.44.50 PM.jpeg,"Black wide-leg pleated trousers, flat lay (true-black under flat-lay lighting; NOT the navy BOT-04)",Flat lay,BOT-10,"Color reads near-black under flat-lay lighting; worn shots (Img 19, 20) confirm true color is dark navy | Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-17 at 8.44.50 PM.jpeg from BOT-04 | Batch 08 reassignment 2026-05-20: re-mapped from BOT-04 (navy, removed) to BOT-10 (black wide-leg trousers) based on true-black color reading and pleated wide-leg silhouette consistent with BOT-10 worn photos Imgs 22-23"
Img 14,WhatsApp Image 2026-05-17 at 9.08.12 PM.jpeg,"Charcoal/faded black distressed denim shorts with thigh rips, flat lay",Flat lay,BOT-05,Distressing is at front thighs - intentional design
Img 15,WhatsApp Image 2026-05-17 at 9.08.13 PM.jpeg,"Beige/sand linen-look chino shorts, flat lay",Flat lay,BOT-06,Partial brand label visible - '& Jones' fragment suggests Jack & Jones; 'REGULAR' fit label also visible
Img 16,WhatsApp Image 2026-05-17 at 9.08.14 PM.jpeg,"Faded chambray-blue shorts, flat lay",Flat lay,BOT-07,Fabindia brand label clearly visible at waistband
Img 17,WhatsApp Image 2026-05-18 at 12.13.06 AM.jpeg,"Client wearing dark black straight-cut jeans, mirror selfie front view",Worn photo,BOT-08,POSSIBLE DUPLICATE of BOT-03 (flat lay of faded black Wrangler-style jeans) - confirm physically. These show less visible fading than BOT-03 but could be lighting.
Img 18,WhatsApp Image 2026-05-18 at 12.13.07 AM.jpeg,"Same dark black jeans as Img 17, mirror selfie side view",Duplicate angle,BOT-08,Side profile of same jeans as Img 17 - merged into single catalog entry
Img 19,WhatsApp Image 2026-05-18 at 12.13.09 AM.jpeg,"Client wearing dark navy wide-leg pleated trousers, mirror selfie front view",Worn photo,BOT-04,Provides ground-truth fit/drape data for BOT-04 - confirms color is navy (not black) and silhouette is wide-leg with clean drape
Img 20,WhatsApp Image 2026-05-18 at 12.13.10 AM.jpeg,"Same dark navy wide-leg trousers as Img 19, mirror selfie side view",Duplicate angle,BOT-04,"Side profile of same trousers as Img 19 - shows clean drape, hem breaks at ankle"
Img 21,WhatsApp Image 2026-05-18 at 12.13.12 AM.jpeg,"Client wearing medium-blue denim regular fit, mirror selfie front view",Worn photo,BOT-09,
Img 22,WhatsApp Image 2026-05-18 at 12.13.13 AM.jpeg,"Client wearing black wide-leg trousers, mirror selfie front view",Worn photo,BOT-10,
